#{"t_start": 1762415922.2101688, "env_id": "None"}
r,l,t
938.417957,720,0.820632
851.359941,720,1.677685
1582.721664,720,2.580758
1434.21206,720,3.552073
1935.018297,720,4.461281
2284.804157,720,5.353686
1656.885333,720,6.337138
1871.985478,720,7.31203
2479.61777,720,8.554476
2341.456591,720,9.911479
2861.522625,720,11.247981
2671.922087,720,12.589113
2946.957086,720,13.589002
2925.372124,720,14.517131
2770.337047,720,15.474127
3324.00885,720,16.550873
2503.217059,720,17.680175
3499.903929,720,18.678483
3208.569702,720,19.661901
3204.667505,720,20.649669
3306.271055,720,21.627908
3232.873712,720,22.77817
3522.287262,720,24.178168
2943.880937,720,25.581188
3149.548068,720,27.010908
3799.514176,720,27.982358
3534.18827,720,28.978523
3555.655946,720,29.933761
3485.859428,720,30.932132
4171.498163,720,31.899899
4047.974882,720,32.903368
3625.584022,720,33.920346
3560.065977,720,34.9101
3163.146433,720,35.913565
2883.861861,720,36.915333
4395.018381,720,38.407038
4373.522619,720,39.926383
4309.210336,720,41.471765
4201.854266,720,42.606187
4863.403261,720,43.805531
1157.91654,720,44.95838
4433.016045,720,46.052883
4730.903893,720,47.136846
4555.739544,720,48.21855
5112.638123,720,49.306013
4196.527382,720,50.367637
4571.20648,720,51.380339
5192.839653,720,52.814914
4645.422231,720,54.346624
4655.7903,720,55.908572
4953.796939,720,57.006076
5167.325145,720,58.072577
5495.894982,720,59.128956
4955.167658,720,60.239047
5233.923326,720,61.276327
5457.814641,720,62.352164
5322.686833,720,63.438835
5648.886579,720,64.50083
4800.031652,720,65.588799
5721.896389,720,67.029701
4733.213633,720,68.602396
5816.200415,720,70.177617
5240.465713,720,71.406442
5364.058044,720,72.475122
5705.587033,720,73.602052
5406.003786,720,74.65029
5155.116811,720,75.734554
5402.334463,720,76.797949
5144.966799,720,77.911708
6422.446787,720,79.064588
6017.435202,720,80.222374
5784.247974,720,81.698512
5403.461157,720,83.299354
5163.749496,720,84.942098
5319.008845,720,86.165878
6442.368187,720,87.269335
5383.665844,720,88.420755
5248.701748,720,89.543718
5631.684105,720,90.702765
5624.455112,720,91.820486
5566.443522,720,92.997431
5242.773765,720,94.119192
5313.011045,720,95.219748
6330.059018,720,96.862834
5077.041126,720,98.533282
5470.607377,720,100.083171
5739.312519,720,101.24395
5020.655082,720,102.40431
5839.451394,720,103.561427
5351.453904,720,104.677488
5505.350158,720,105.837046
5969.087719,720,107.016358
4717.778216,720,108.267906
6266.774205,720,109.630596
5311.226227,720,111.23431
5146.604666,720,112.941331
5675.280719,720,114.531671
4848.605079,720,115.675764
5385.699525,720,116.820568
4908.234328,720,117.98622
5443.077634,720,119.177383
5291.80054,720,120.367547
5390.923257,720,121.458425
5288.175749,720,122.6248
5475.625348,720,123.765897
5615.902423,720,125.081419
4950.765113,720,126.681373
5187.682498,720,128.421165
5264.795371,720,129.810117
5863.389076,720,130.940531
4957.086472,720,132.059911
5462.741965,720,133.196969
4737.745583,720,134.365724
4989.976174,720,135.488106
5506.920984,720,136.640104
6206.628424,720,137.776634
4758.025411,720,138.919803
5256.019061,720,140.569732
5532.277668,720,142.206408
3085.78075,720,143.780224
5711.682981,720,144.914273
5615.787021,720,146.032779
5960.475761,720,147.142169
4933.524949,720,148.255135
5784.295558,720,149.37583
5447.043299,720,150.513779
5028.240674,720,151.605553
4716.302597,720,152.703267
6119.304911,720,153.946803
5241.67138,720,155.534838
5626.581495,720,157.168506
5391.119387,720,158.611603
6060.307385,720,159.783432
5499.768038,720,161.00628
5743.103573,720,162.188344
6013.936441,720,163.386214
5484.186572,720,164.562775
5124.691582,720,165.854728
5598.27511,720,167.041826
5313.614899,720,168.371855
5743.114379,720,170.173268
6356.009186,720,171.714693
5445.565317,720,173.200411
5848.429908,720,174.30257
5936.705985,720,175.413226
6002.987696,720,176.52421
4493.855624,720,177.627687
3017.520762,720,178.725801
5028.263855,720,179.862418
5994.998175,720,180.99702
5210.474997,720,182.09729
5875.246959,720,183.382776
5756.85309,720,184.927697
4907.096302,720,186.42576
5368.645403,720,187.831212
5341.815361,720,188.927274
5146.138091,720,190.057685
4642.715326,720,191.149947
5845.147848,720,192.204166
5629.988087,720,193.303402
5551.015389,720,194.416712
6064.851299,720,195.468371
5296.047035,720,196.556289
6140.384356,720,197.796666
5275.307735,720,199.355232
4870.423188,720,200.847228
5963.254921,720,202.294827
3915.577368,720,203.373365
5830.69005,720,204.469857
5159.836171,720,205.598302
5419.341221,720,206.760046
6039.973802,720,207.885039
5647.242436,720,208.983967
6089.617209,720,210.089434
5650.779201,720,211.207002
5925.356562,720,212.495599
5922.152997,720,214.06609
5978.618047,720,215.59405
6060.943471,720,216.963856
4783.637636,720,218.092805
5974.151891,720,219.206715
5412.464429,720,220.336254
5791.247147,720,221.416984
4518.711227,720,222.504535
5290.065984,720,223.604261
5479.719109,720,224.654638
5235.211682,720,225.725643
5792.972055,720,227.039536
5615.959671,720,228.667048
5635.426851,720,230.206227
5294.468667,720,231.54083
4926.283069,720,232.604804
5436.929681,720,233.685579
4575.365409,720,234.741535
5781.959601,720,235.820492
5563.07794,720,236.907895
5416.455725,720,238.033896
5545.176434,720,239.156129
4782.864488,720,240.250669
5756.968579,720,241.567471
5465.751146,720,243.172754
5490.799809,720,244.70857
6068.323221,720,246.062713
6283.558883,720,247.254802
5610.923496,720,248.477482
5301.15141,720,249.670508
6508.245949,720,250.813838
5705.539144,720,251.964825
5671.740493,720,253.095996
4685.067452,720,254.18726
5907.997977,720,255.262683
5531.571878,720,256.761607
4686.646032,720,258.276122
5365.925124,720,259.862658
5175.847482,720,260.988595
5432.241787,720,262.101172
5105.476247,720,263.19853
5814.407419,720,264.308704
5796.615893,720,265.409244
5214.085093,720,266.475967
5509.645483,720,267.552065
6576.529252,720,268.668176
5150.811331,720,269.73268
5669.723713,720,271.282609
5030.943448,720,272.89218
5340.587484,720,274.439336
4059.880154,720,275.519835
6015.209282,720,276.580219
5107.308699,720,277.640639
5580.559094,720,278.68268
5157.323139,720,279.73016
4402.13301,720,280.79759
5323.3033,720,281.885937
6035.526527,720,282.954972
5628.382582,720,284.003233
5462.655092,720,285.326432
6062.063629,720,286.883541
5137.952797,720,288.489655
6020.272827,720,289.817915
4430.596596,720,290.894331
5776.534913,720,291.974451
4840.135623,720,293.051403
4738.519763,720,294.118575
4709.676105,720,295.178043
5164.79265,720,296.26416
5284.233181,720,297.345326
5851.504373,720,298.394495
4478.068485,720,299.595314
4743.028048,720,301.151923
5706.531738,720,302.607283
5755.124065,720,304.05142
6341.288313,720,305.105356
5463.418317,720,306.138054
5877.704009,720,307.181188
5825.985403,720,308.23035
5151.987342,720,309.331605
5321.079641,720,310.407702
6991.850307,720,311.489746
4552.999467,720,312.603482
5605.073174,720,313.770837
5897.273891,720,315.285696
5535.334822,720,316.818004
5031.742878,720,318.330125
5447.487453,720,319.415004
5807.081309,720,320.5046
4970.582095,720,321.561934
6321.597835,720,322.638328
5420.957906,720,323.729161
5334.14529,720,324.838026
5450.195174,720,325.935823
5163.553281,720,327.062492
5650.653318,720,328.370621
5489.56485,720,329.942935
6077.137965,720,331.491951
5416.591646,720,333.037808
5362.648257,720,334.131939
5683.947278,720,335.207828
