#{"t_start": 1762415922.2184756, "env_id": "None"}
r,l,t
1132.533708,720,336.847706
1825.19232,720,337.632406
2529.10384,720,339.932636
1578.120982,720,340.755484
1775.95947,720,341.545164
1387.434603,720,344.254797
2452.047807,720,345.39397
2605.267178,720,346.604992
2419.480735,720,349.250109
2527.86554,720,350.106247
2876.0877,720,350.992266
2952.902848,720,353.357096
3224.841657,720,354.21233
2283.339085,720,355.064593
2994.87889,720,357.545128
2597.928241,720,358.678192
3225.866907,720,359.823551
3568.48907,720,362.787387
3918.454303,720,363.592516
3341.061067,720,365.81215
3636.034293,720,366.577274
3820.506279,720,367.355691
3949.757807,720,369.590366
3882.544063,720,370.421759
4071.527461,720,371.320196
3696.043733,720,374.374381
4156.126599,720,375.422443
4485.699268,720,376.586015
5041.784287,720,378.903421
4692.446569,720,379.681114
3772.151365,720,380.47464
5019.300399,720,382.85273
4755.686702,720,383.617388
4464.737737,720,384.400381
4349.808351,720,386.74059
4852.437629,720,387.785909
4879.538867,720,391.064486
4860.076456,720,391.933506
4839.05519,720,392.780779
4820.413346,720,395.166813
4650.553079,720,395.953535
4586.054972,720,396.72452
4948.953617,720,398.974554
4040.400413,720,399.765249
4968.445559,720,400.561353
5261.927389,720,403.637412
5568.471335,720,404.736821
5786.797015,720,405.800009
5281.854888,720,408.073966
5636.796663,720,408.876196
5611.944074,720,409.742124
5202.25206,720,412.046915
5868.124054,720,412.84634
5415.317757,720,413.676927
4867.083787,720,416.115278
6072.248387,720,417.237825
5660.52184,720,420.322069
5344.853977,720,421.09276
5410.815543,720,421.890365
4827.81133,720,424.157262
5466.761554,720,424.932035
5296.516854,720,425.704824
5761.741046,720,427.921941
4897.810241,720,428.699785
5386.130019,720,429.476602
5421.684975,720,432.477665
5155.28347,720,433.669392
4321.929579,720,434.752136
5717.736326,720,437.068901
5394.484747,720,437.856666
5141.89057,720,438.629751
5325.689651,720,440.829009
6205.798027,720,441.60488
5316.354717,720,443.801046
5031.578514,720,444.627972
5015.834384,720,445.711191
4653.303109,720,448.953453
5880.18485,720,449.707755
5616.834454,720,450.45879
5544.643894,720,452.76421
5289.571345,720,453.55857
6120.593115,720,454.362684
5533.257758,720,456.694876
5557.611551,720,457.492688
5658.049366,720,458.314051
5676.008958,720,461.331291
6060.570972,720,462.414768
5771.563057,720,463.576864
6182.30962,720,465.878384
5267.121926,720,466.670445
5820.167088,720,467.440339
6075.976176,720,469.78229
4903.587966,720,470.550336
5002.918086,720,473.061373
6212.811085,720,474.136013
5568.291899,720,475.393385
6005.067389,720,478.531376
5732.373285,720,479.327786
5378.392524,720,480.080014
5304.591116,720,482.462248
6003.029923,720,483.227854
5326.165579,720,484.018972
5703.992412,720,486.23917
5014.551959,720,487.033463
5954.396678,720,487.803562
5317.809547,720,490.874062
5679.493087,720,492.020454
5674.37642,720,492.958147
5245.571246,720,495.224506
5717.239098,720,496.042627
5524.602292,720,498.387046
5561.005933,720,499.184441
5713.418696,720,499.96053
6083.275824,720,502.111107
5435.886631,720,503.077209
6164.124129,720,504.140247
5451.220187,720,507.166545
4754.476495,720,507.910531
6190.281666,720,508.680498
5322.512585,720,510.785353
5890.263648,720,511.532228
6142.719387,720,512.325168
4657.966582,720,514.551487
5762.75175,720,515.332231
5322.409281,720,516.109286
5256.342523,720,518.980411
5252.248349,720,520.061649
5544.507088,720,521.194544
5363.90802,720,523.490361
6074.067657,720,524.259897
5748.351857,720,526.471093
5174.346901,720,527.248187
5891.901095,720,528.001755
5797.548519,720,530.164185
5305.449721,720,530.905172
5776.332033,720,531.809314
5642.292942,720,534.985017
5403.63372,720,536.083658
5961.278813,720,536.842299
